Countries,Total Cases,New Cases,Total Death,New Death,Total Recovered
USA,"666,949","+18,801","33,875 ","+1,287","57,189"
Spain,"182,816","+2,157","19,130 ",+318,"74,797"
Italy,"168,941","+3,786","22,170 ",+525,"40,164"
France,"147,863",,"17,167 ",,"30,955"
Germany,"135,663",+910,"3,867 ",+63,"77,000"
UK,"103,093","+4,617","13,729 ",+861,N/A
Iran,"77,995","+1,606","4,869 ",+92,"52,229"
Turkey,"74,193","+4,801","1,643 ",+125,"7,089"
Belgium,"34,809","+1,236","4,857 ",+417,"7,562"
Canada,"29,925","+1,546","1,191 ",+181,"9,671"
Netherlands,"29,214","+1,061","3,315 ",+181,250
Brazil,"29,214",+604,"1,769 ",+12,"14,026"
Russia,"27,938","+3,448",232 ,+34,"2,304"
Switzerland,"26,732",+396,"1,281 ",+42,"15,400"
Portugal,"18,841",+750,629 ,+30,493
Austria,"14,474",+124,393 ,,"8,986"
India,"12,759",+389,423 ,+1,"1,514"
Israel,"12,591",+90,140 ,+10,"2,624"
Ireland,"12,547",,444 ,,77
Sweden,"12,540",+613,"1,333 ",+130,550
Peru,"11,475",,254 ,,"3,108"
S. Korea,"10,613",+22,229 ,+4,"7,757"
Chile,"8,807",+534,105 ,+11,"3,299"
Japan,"8,626",,178 ,,901
Ecuador,"8,225",+367,403 ,+15,838
Poland,"7,918",+336,314 ,+28,774
Romania,"7,707",+491,392 ,+20,"1,357"
Pakistan,"6,919",+536,128 ,+17,"1,645"
Denmark,"6,879",+198,321 ,+12,"3,023"
Norway,"6,848",+51,152 ,+2,32
Australia,"6,468",+21,63 ,,"3,747"
Saudi Arabia,"6,380",+518,83 ,+4,990
Czechia,"6,359",+58,169 ,+3,972
Mexico,"5,847",+448,449 ,+43,"2,125"
UAE,"5,825",+460,35 ,+2,"1,095"
Philippines,"5,660",+207,362 ,+13,435
Indonesia,"5,516",+380,496 ,+27,548
Serbia,"5,318",+445,103 ,+4,443
Malaysia,"5,182",+110,84 ,+1,"2,766"
Singapore,"4,427",+728,10 ,,683
Belarus,"4,204",+476,40 ,+4,203
Ukraine,"4,161",+397,116 ,+8,186
Qatar,"4,103",+392,7 ,,415
Dominican Republic,"3,755",+141,196 ,+7,215
Panama,"3,751",,103 ,,75
Luxembourg,"3,444",+71,69 ,,552
Finland,"3,369",+132,75 ,+3,"1,700"
Colombia,"3,105",,131 ,,452
Egypt,"2,673",+168,196 ,+13,596
Thailand,"2,672",+29,46 ,+3,"1,593"
Argentina,"2,571",,115 ,+3,631
South Africa,"2,506",,34 ,,410
Morocco,"2,283",+259,130 ,+3,249
Algeria,"2,268",+108,348 ,+12,783
Greece,"2,207",+15,105 ,+3,269
Moldova,"2,154",+105,54 ,+8,235
Croatia,"1,791",+50,35 ,+2,529
Iceland,"1,727",,8 ,,"1,077"
Bahrain,"1,700",+29,7 ,,703
Hungary,"1,652",+73,142 ,+8,199
Bangladesh,"1,572",+341,60 ,+10,49
Kuwait,"1,524",+119,3 ,,225
Iraq,"1,434",+19,80 ,+1,856
Estonia,"1,434",+34,36 ,+1,133
New Zealand,"1,401",+15,9 ,,770
Kazakhstan,"1,362",+67,17 ,+1,277
Uzbekistan,"1,349",+47,4 ,,129
Azerbaijan,"1,283",+30,15 ,+2,460
Slovenia,"1,268",+20,61 ,,174
Bosnia and Herzegovina,"1,167",+57,43 ,+2,277
Armenia,"1,159",+48,18 ,+1,358
Lithuania,"1,128",+37,32 ,+2,178
North Macedonia,"1,081",+107,46 ,+1,121
Oman,"1,019",+109,4  ,,176
Hong Kong,"1,018",+1,4 ,,485
Slovakia,977,+114,8 ,+2,167
Cuba,862,+48,27 ,+3,171
Cameroon,848,,17 ,,165
Afghanistan,840,+56,30 ,+5,54
Bulgaria,800,+53,38 ,+2,122
Tunisia,780,,35 ,,43
Cyprus,735,+20,12 ,,65
Diamond Princess,712,,12 ,,644
Latvia,675,+9,5 ,,57
Andorra,673,,33 ,,169
Lebanon,663,+5,21 ,,85
Ivory Coast,654,,6 ,,146
Ghana,641,,8 ,,83
Costa Rica,626,,4 ,,67
Djibouti,591,+156,2 ,,73
Niger,584,,14 ,,90
Burkina Faso,542,,32 ,,226
Albania,518,+24,26 ,+1,277
Uruguay,493,,9 ,,272
Kyrgyzstan,466,+17,5 ,,91
Channel Islands,447,,15 ,,69
Bolivia,441,+44,29 ,+1,14
Guinea,438,+34,1 ,,49
San Marino,426,+33,38 ,+2,55
Honduras,426,+7,35 ,+4,9
Malta,412,+13,3 ,,82
Nigeria,407,,12 ,,128
Jordan,401,,7 ,,250
Taiwan,395,,6 ,,155
Réunion,391,, ,,237
Palestine,374,,2 ,,63
Georgia,348,+42,3 ,,76
Senegal,335,+21,2 ,,194
Mauritius,324,,9 ,,81
Montenegro,294,+6,4 ,,55
Isle of Man,283,+27,4 ,,153
Vietnam,268,, ,,177
DRC,267,+13,22 ,+1,23
Sri Lanka,238,,7 ,,68
Kenya,234,+9,11 ,+1,53
Mayotte,233,+16,3 ,,69
Venezuela,197,,9 ,,111
Guatemala,196,+16,5 ,,19
Faeroe Islands,184,, ,,169
Paraguay,174,+13,8 ,,30
Mali,171,+23,13 ,,34
El Salvador,164,+5,6 ,,33
Martinique,158,,8 ,,73
Guadeloupe,145,,8 ,,67
Brunei ,136,,1 ,,108
Rwanda,136,, ,,54
Gibraltar,131,, ,,104
Jamaica,125,,5 ,,21
Cambodia,122,, ,,98
Congo,117,,5 ,,11
Trinidad and Tobago,114,,8 ,,20
Madagascar,111,+1, ,,33
Tanzania,94,+6,4 ,,11
Monaco,93,,3 ,,12
Aruba,93,,1 ,,39
Ethiopia,92,+7,3 ,,15
French Guiana,86,, ,,51
Myanmar,85,+11,4 ,,2
Bermuda,81,,5 ,,33
Togo,81,,5 ,+2,45
Somalia,80,,5 ,,2
Gabon,80,,1 ,,4
Liechtenstein,79,,1 ,,55
Barbados,75,+2,5 ,,15
Cayman Islands,60,,1 ,,6
Liberia,59,,6 ,,4
Sint Maarten,57,+4,9 ,,12
Cabo Verde,56,,1 ,,1
Guyana,55,,6 ,,8
French Polynesia,55,, ,,
Uganda,55,, ,,12
Bahamas,53,,8 ,,6
Equatorial Guinea,51,, ,,4
Zambia,48,,2 ,,30
Libya,48,,1 ,,11
Macao,45,, ,,16
Guinea-Bissau,43,, ,,
Haiti,41,,3 ,,
Saint Martin,35,,2 ,,13
Benin,35,,1 ,,18
Eritrea,35,, ,,
Syria,33,,2 ,,5
Sudan,32,,5 ,,4
Mongolia,31,+1, ,,5
Mozambique,31,+2, ,,2
Chad,27,+4, ,,5
Antigua and Barbuda,23,,3 ,+1,3
Zimbabwe,23,,3 ,,1
Maldives,23,+1, ,,16
Angola,19,,2 ,,5
Laos,19,, ,,2
Belize,18,,2 ,,
New Caledonia,18,, ,,1
Timor-Leste,18,+10, ,,1
Fiji,17,+1, ,,
Malawi,16,,2 ,,
Eswatini,16,+1,1 ,+1,8
Nepal,16,, ,,2
Dominica,16,, ,,8
Namibia,16,, ,,4
Botswana,15,+2,1 ,,
Saint Lucia,15,, ,,11
Sierra Leone,15,+2, ,,
Curaçao,14,,1 ,,10
Grenada,14,, ,,
Saint Kitts and Nevis,14,, ,,
CAR,12,, ,,4
St. Vincent Grenadines,12,, ,,1
Turks and Caicos,11,+1,1 ,,
Falkland Islands,11,, ,,1
Greenland,11,, ,,11
Montserrat,11,, ,,1
Seychelles,11,, ,,
Suriname,10,,1 ,,6
MS Zaandam,9,,2 ,,
Gambia,9,,1 ,,2
Nicaragua,9,,1 ,,4
Vatican City,8,, ,,2
Mauritania,7,,1 ,,2
Papua New Guinea,7,+5, ,,
St. Barth,6,, ,,4
Western Sahara,6,, ,,
Burundi,5,,1 ,,
Bhutan,5,, ,,2
Sao Tome and Principe,4,, ,,
South Sudan,4,, ,,
Anguilla,3,, ,,1
British Virgin Islands,3,, ,,2
Caribbean Netherlands,3,, ,,
Saint Pierre Miquelon,1,, ,,
Yemen,1,, ,,
China,"82,341",+46,"3,342 ",,"77,892"
